Address,Balance
kujira1et8js9xu4kvz4ersdey3n6hv2866eefq5nmkdv,502309
kujira1pkj0hgcs6y9j9eflzm93gfcadvypau488zgrhs,1
kujira1afkrnw0g66900snhceg0maffkhj4rynfwwwjd0,533801
kujira1cem4hxdaq9w40k3358p7rr2s8q7qwkysg739h7,710147
kujira1eqcvqnf5ut7seg8a9n8nrmxzpqh0c58hkdu2cv,314714
kujira1svyjttx3vxr5005ph5q2dygl2f4smsfsgld5re,2312653
kujira167zrv9lwdnkya4ucjt6ue7j45tlj9kzmu0y9pn,4543453
kujira1emwjj44v9mzcuvxd9de8707l4e5ngw0lsf398u,661075
kujira17ldftgekuhg593rwmgcasu9rqueaq428p65m23,194046
kujira125catnh2tasnh653hhfjfgmwuy2qe0f2x7lc9j,10509118
kujira1jkg0xc3f2pnvt88jx3hna0wl0a75gv0swd9y9f,234125
kujira1j7ehfejf9cxtdkq69d7mzzrqvd02sz3vdfzvqh,550017
